Raw relative expression levels of 10 control genes determined in 85 different samples from 13 different tissues*										

	ACTB	B2M	GAPD	HMBS	HPRT1	RPL13A	SDHA	TBP	UBC	YWHAZ
BM1	0.0424753	0.0575575	0.1546512	0.1096441	0.1180020	0.0741848	0.2033609	0.1902234	0.0991928	0.1032482
BM2	0.0191865	0.0194445	0.0703254	0.0879577	0.0707967	0.0440644	0.1403777	0.1060434	0.0367942	0.0393353
BM3	0.1631383	0.2955880	0.7732798	0.4045788	0.5574677	0.3481331	0.4472067	0.4686091	0.3400902	0.3587541
BM4	0.5725601	1.0000000	1.0000000	0.7968714	1.0000000	0.5706515	0.9736405	1.0000000	0.5979617	0.7862987
BM5	0.0370407	0.0443597	0.1191900	0.2081702	0.1304351	0.1078288	0.2138061	0.2006627	0.0759393	0.1001915
BM6	0.4547358	0.3611580	0.7257439	0.3551782	0.5464100	0.5179835	1.0000000	0.7185101	0.6765965	0.5861008
BM7	0.2459956	0.2560527	0.3458159	0.1785298	0.2403124	0.1876996	0.4339670	0.5409637	0.2020073	0.4032301
BM8	0.1809303	0.0629878	0.1353151	0.2255396	0.1980004	0.1658849	0.2792762	0.4032301	0.1114901	0.1631383
BM9	1.0000000	0.4211193	0.7453921	1.0000000	0.8157169	1.0000000	0.9291722	0.7889286	1.0000000	1.0000000
POOL brain	9.0221680	1.0934566	11.9035163	0.0237385	0.2558446	0.5405240	0.6990019	0.0494870	3.5539607	6.3116425
POOL fetal brain	14.6127978	0.3994356	6.1949656	0.0135651	0.1552558	1.4254853	0.5358732	0.1019356	4.2478517	9.8869680
POOL heart	3.0656054	4.2382155	19.6907674	0.0286896	0.0561318	1.0391068	2.0741779	0.0208213	6.0785742	1.9144404
POOL kidney	7.7457994	3.1129275	8.9119658	0.0273416	0.1126411	1.3554263	1.0909746	0.0366808	4.3615060	1.8244893
POOL liver	6.5063173	7.6373649	7.3373877	0.0406511	0.0748952	1.4625404	1.1615715	0.0370226	2.8710638	1.5635484
POOL lung	15.0615098	13.5804182	2.6710306	0.0086155	0.0643111	1.2350624	0.3215653	0.0380723	8.0665187	3.9214688
POOL mammery gland	9.7993665	3.8601103	5.5733812	0.0240373	0.0532142	2.9849454	0.4918616	0.0473447	4.7798117	2.7550675
POOL trachea	8.7391670	5.1909046	4.8232440	0.0261920	0.0699069	1.6568525	0.4864860	0.0595541	8.3400301	1.7419531
POOL uterus	27.1239918	5.4975715	4.1391024	0.0168663	0.0396520	1.9461086	0.3677314	0.0399177	5.0741901	2.9739868
FIB1	0.4993028	0.3278251	0.5162567	0.3056248	0.4829056	0.3355779	0.3939143	0.4383361	0.4472067	0.5725601
FIB2	0.2387128	0.4780923	0.2877965	0.1156613	0.3138990	0.2395113	0.2509738	0.2363335	0.2218053	0.3516380
FIB3	0.2621082	0.4780923	0.1609739	0.0894386	0.1475879	0.2728241	0.2411161	0.1864502	0.1779347	0.3066470
FIB4	0.1510783	1.0000000	0.4623917	0.2081702	0.2849279	0.2774173	0.3759233	0.1152758	0.3721764	0.2218053
